id,name,matchType,status,venue,date,dateTimeGMT,teams,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,"Chennai Super Kings vs Mumbai Indians, 3rd Match",t20,Chennai Super Kings won by 4 wkts,"MA Chidambaram Stadium, Chennai",2025-03-23,2025-03-23T14:00:00,"['Chennai Super Kings', 'Mumbai Indians']",True,True,True,True,True
83d70527-5fc4-4fad-8dd2-b88b385f379e,"Gujarat Titans vs Punjab Kings, 5th Match",t20,Punjab Kings won by 11 runs,"Narendra Modi Stadium, Ahmedabad",2025-03-25,2025-03-25T14:00:00,"['Gujarat Titans', 'Punjab Kings']",True,True,True,True,True
d5915da0-c08b-4122-bcb0-2c2e1e6e168a,"Kolkata Knight Riders vs Sunrisers Hyderabad, 15th Match",t20,Match not started,"Eden Gardens, Kolkata",2025-04-03,2025-04-03T14:00:00,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']",False,False,True,False,False
5dc7a22f-5057-4895-bb98-965d9a1f004e,"Lucknow Super Giants vs Mumbai Indians, 16th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,2025-04-04T14:00:00,"['Lucknow Super Giants', 'Mumbai Indians']",False,False,True,False,False
f5dabb5b-a934-4666-a368-7134e991f569,"Chennai Super Kings vs Delhi Capitals, 17th Match",t20,Match not started,"MA Chidambaram Stadium, Chennai",2025-04-05,2025-04-05T10:00:00,"['Chennai Super Kings', 'Delhi Capitals']",False,False,True,False,False
b2e603ab-96f7-4711-ac9f-6a78e742237d,"Punjab Kings vs Rajasthan Royals, 18th Match",t20,Match not started,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-05,2025-04-05T14:00:00,"['Punjab Kings', 'Rajasthan Royals']",False,False,True,False,False
2ac97990-6265-40e4-b93e-fcd24e89026c,"Kolkata Knight Riders vs Lucknow Super Giants, 19th Match",t20,Match not started,"Eden Gardens, Kolkata",2025-04-06,2025-04-06T10:00:00,"['Kolkata Knight Riders', 'Lucknow Super Giants']",False,False,True,False,False
3027ad1a-e7d8-4891-8ea0-1a56f81e8700,"Sunrisers Hyderabad vs Gujarat Titans, 20th Match",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-04-06,2025-04-06T14:00:00,"['Sunrisers Hyderabad', 'Gujarat Titans']",False,False,True,False,False
0a5ebe67-67a3-41d2-bbc8-5fc94aef0529,"Mumbai Indians vs Royal Challengers Bengaluru, 21st Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-04-07,2025-04-07T14:00:00,"['Mumbai Indians', 'Royal Challengers Bengaluru']",False,False,True,False,False
56a88e0e-e844-41bd-ba65-3c905e36ba0d,"Punjab Kings vs Chennai Super Kings, 22nd Match",t20,Match not started,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-08,2025-04-08T14:00:00,"['Punjab Kings', 'Chennai Super Kings']",False,False,True,False,False
71213f27-c274-48b0-97f7-ec74e895dcbe,"Gujarat Titans vs Rajasthan Royals, 23rd Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",2025-04-09,2025-04-09T14:00:00,"['Gujarat Titans', 'Rajasthan Royals']",False,False,True,False,False
3f309c2d-75dd-48bc-9d9f-e3979e252949,"Royal Challengers Bengaluru vs Delhi Capitals, 24th Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-04-10,2025-04-10T14:00:00,"['Royal Challengers Bengaluru', 'Delhi Capitals']",False,False,True,False,False
b39bbd39-c67f-4892-9a48-02e958946718,"Chennai Super Kings vs Kolkata Knight Riders, 25th Match",t20,Match not started,"MA Chidambaram Stadium, Chennai",2025-04-11,2025-04-11T14:00:00,"['Chennai Super Kings', 'Kolkata Knight Riders']",False,False,True,False,False
35938151-73ee-4969-8153-db8aabee3b90,"Lucknow Super Giants vs Gujarat Titans, 26th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,2025-04-12T10:00:00,"['Lucknow Super Giants', 'Gujarat Titans']",False,False,True,False,False
b13f129b-2596-429d-ad49-a1b0d102809b,"Sunrisers Hyderabad vs Punjab Kings, 27th Match",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-04-12,2025-04-12T14:00:00,"['Sunrisers Hyderabad', 'Punjab Kings']",False,False,True,False,False
953420f4-982c-4dcb-b8f7-bbda5acd438d,"Rajasthan Royals vs Royal Challengers Bengaluru, 28th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",2025-04-13,2025-04-13T10:00:00,"['Rajasthan Royals', 'Royal Challengers Bengaluru']",False,False,True,False,False
3683354f-3c17-4346-9236-8d2bc474e7a5,"Kolkata Knight Riders vs Punjab Kings, 44th Match",t20,Match not started,"Eden Gardens, Kolkata",2025-04-26,2025-04-26T14:00:00,"['Kolkata Knight Riders', 'Punjab Kings']",False,False,True,False,False
cacf2d34-41b8-41dd-91ed-5183d880084c,"Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match",t20,Royal Challengers Bengaluru won by 7 wkts,"Eden Gardens, Kolkata",2025-03-22,2025-03-22T14:00:00,"['Kolkata Knight Riders', 'Royal Challengers Bengaluru']",True,True,True,True,True
16cd14fd-9a69-49fc-b310-585a03e1d2b2,"Gujarat Titans vs Chennai Super Kings, 69th Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",2025-05-18,2025-05-18T10:00:00,"['Gujarat Titans', 'Chennai Super Kings']",False,False,True,False,False
91b007f3-c0af-493f-808a-3f4ae2d66e33,"Sunrisers Hyderabad vs Rajasthan Royals, 2nd Match",t20,Sunrisers Hyderabad won by 44 runs,"Rajiv Gandhi International Stadium, Hyderabad",2025-03-23,2025-03-23T10:00:00,"['Sunrisers Hyderabad', 'Rajasthan Royals']",True,True,True,True,True
